processorbranding,model,cores(threads),baseclockrate,turboclockrate,maxgpuclockrate,l3,tdp,releasedate,price(usd),socket,memorysupport
Pentium,G620,2 (2),2.6 GHz,,1100 MHz,3 MB,65 W,5/24/2011,$64 ,LGA1155,Up to dualchannelDDR3-1066
Pentium,G645T,2 (2),2.5 GHz,,1100 MHz,3 MB,35 W,9/3/2012,$64 ,LGA1155,Up to dualchannelDDR3-1066
Pentium,G640T,2 (2),2.4 GHz,,1100 MHz,3 MB,35 W,6/3/2012,$64 ,LGA1155,Up to dualchannelDDR3-1066
Pentium,G630T,2 (2),2.3 GHz,,1100 MHz,3 MB,35 W,9/4/2011,$70 ,LGA1155,Up to dualchannelDDR3-1066
Pentium,G620T,2 (2),2.2 GHz,,1100 MHz,3 MB,35 W,5/24/2011,$70 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G555,2 (2),2.7 GHz,,1000 MHz,2 MB,65 W,9/2/2012,$52 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G550,2 (2),2.6 GHz,,1000 MHz,2 MB,65 W,6/3/2012,$52 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G540,2 (2),2.5 GHz,,1000 MHz,2 MB,65 W,9/4/2011,$52 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G530,2 (2),2.4 GHz,,1000 MHz,2 MB,65 W,9/4/2011,$42 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G550T,2 (2),2.2 GHz,,1000 MHz,2 MB,35 W,9/2/2012,$42 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G540T,2 (2),2.1 GHz,,1000 MHz,2 MB,35 W,6/3/2012,$42 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G530T,2 (2),2.0 GHz,,1000 MHz,2 MB,35 W,9/4/2011,$47 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G470,1 (2),2.0 GHz,,1000 MHz,1.5 MB,35 W,6/9/2013,$37 ,LGA1155,Up to dualchannelDDR3-1333
Celeron,G465,1 (2),1.9 GHz,,1000 MHz,1.5 MB,35 W,9/2/2012,$37 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G460,1 (2),1.8 GHz,,1000 MHz,1.5 MB,35 W,12/11/2011,$37 ,LGA1155,Up to dualchannelDDR3-1066
Celeron,G440,1 (1),1.6 GHz,,1000 MHz,1 MB,35 W,9/4/2011,$37 ,LGA1155,Up to dualchannelDDR3-1066
