Processorbranding and model,Processorbranding and model,Cores(threads),CPU clock rate,CPU clock rate,Graphics clock rate,Graphics clock rate,L3cache,TDP,Releasedate,Releaseprice(USD),Motherboard,Motherboard,Motherboard
Processorbranding and model,Processorbranding and model.1,Cores(threads),Normal,Turbo,Normal,Turbo,L3cache,TDP,Releasedate,Releaseprice(USD),Socket,Interface,Memory
Core i3,3220,2 (4),3.3 GHz,,650 MHz,1050 MHz,3 MB,55 W,2012-09-03,$117,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Core i3,3210,2 (4),3.2 GHz,,650 MHz,1050 MHz,3 MB,55 W,2013-01-20,$117,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Core i3,3250T,2 (4),3.0 GHz,,650 MHz,1050 MHz,3 MB,35 W,2013-06-09,$138,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Core i3,3240T,2 (4),2.9 GHz,,650 MHz,1050 MHz,3 MB,35 W,2012-09-03,$138,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Core i3,3220T,2 (4),2.8 GHz,,650 MHz,1050 MHz,3 MB,35 W,2012-09-03,$117,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Pentium,G2140,2 (2),3.3 GHz,,650 MHz,1050 MHz,3 MB,55 W,2013-06-09,$86,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Pentium,G2130,2 (2),3.2 GHz,,650 MHz,1050 MHz,3 MB,55 W,2013-01-20,$86,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Pentium,G2120,2 (2),3.1 GHz,,650 MHz,1050 MHz,3 MB,55 W,2012-09-03,$86,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Pentium,G2120T,2 (2),2.7 GHz,,650 MHz,1050 MHz,3 MB,35 W,2013-06-09,$75,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Pentium,G2100T,2 (2),2.6 GHz,,650 MHz,1050 MHz,3 MB,35 W,2012-09-03,$75,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1600[54]
Pentium,G2030,2 (2),3.0 GHz,,650 MHz,1050 MHz,3 MB,55 W,2013-06-09,$64,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Pentium,G2020,2 (2),2.9 GHz,,650 MHz,1050 MHz,3 MB,55 W,2013-01-20,$64,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Pentium,G2010,2 (2),2.8 GHz,,650 MHz,1050 MHz,3 MB,55 W,2013-01-20,$64,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Pentium,G2030T,2 (2),2.6 GHz,,650 MHz,1050 MHz,3 MB,35 W,2013-06-09,$64,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Pentium,G2020T,2 (2),2.5 GHz,,650 MHz,1050 MHz,3 MB,35 W,2013-01-20,$64,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Celeron,G1630,2 (2),2.8 GHz,,650 MHz,1050 MHz,2 MB,55 W,2013-09-01,$52,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Celeron,G1620,2 (2),2.7 GHz,,650 MHz,1050 MHz,2 MB,55 W,2013-01-20,$52,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Celeron,G1610,2 (2),2.6 GHz,,650 MHz,1050 MHz,2 MB,55 W,2013-01-20,$42,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Celeron,G1620T,2 (2),2.4 GHz,,650 MHz,1050 MHz,2 MB,35 W,2013-09-01,$42,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
Celeron,G1610T,2 (2),2.3 GHz,,650 MHz,1050 MHz,2 MB,35 W,2013-01-20,$42,LGA1155,DMI 2.0PCIe 2.0,Dual channel DDR3-1333
