Targetsegment,Cores(threads),Processorbranding and model,Processorbranding and model,GPU model,CPU clock rate,CPU clock rate,Graphics clock rate,Graphics clock rate,Cache,Cache,TDP,PCIe 3.0 laneconfigurations[a],VT-d[b],Releasedate,Releaseprice(USD),Motherboard,Motherboard,Motherboard
Targetsegment,Cores(threads),Processorbranding and model,Processorbranding and model.1,GPU model,Normal,Turbo,Normal,Turbo,L3,L4[a],TDP,PCIe 3.0 laneconfigurations[a],VT-d[b],Releasedate,Releaseprice(USD),Socket,Interface,Memory
Enthusiast / High-End,8 (16),Core i7Extreme,5960X,,3.0 GHz,3.5 GHz,,,20 MB,,140 W,2×16 + 1×8,Yes,"August 29, 2014[86]",$999,LGA 2011-v3,DMI 2.0PCIe 3.0,Up to quadchannelDDR4-2133
Enthusiast / High-End,6 (12),Core i7Extreme,5930K,,3.5 GHz,3.7 GHz,,,15 MB,,140 W,2×16 + 1×8,Yes,"August 29, 2014[86]",$583,LGA 2011-v3,DMI 2.0PCIe 3.0,Up to quadchannelDDR4-2133
Enthusiast / High-End,6 (12),Core i7Extreme,5820K,,3.3 GHz,3.6 GHz,,,15 MB,,140 W,1×16 + 1×8 + 1×4,Yes,"August 29, 2014[86]",$389,LGA 2011-v3,DMI 2.0PCIe 3.0,Up to quadchannelDDR4-2133
Performance,4 (8),Core i7,4790K,HD 4600 (GT2),4.0 GHz,4.4 GHz,350 MHz[87],1.25 GHz,8 MB,,88 W,1×162×81×8 + 2×4,Yes,"June 2, 2014",$339,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
Performance,4 (8),Core i7,4790,HD 4600 (GT2),3.6 GHz,4.0 GHz,350 MHz[87],1.2 GHz,8 MB,,84 W,1×162×81×8 + 2×4,Yes,"May 11, 2014",$303,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
Performance,4 (8),Core i7,4790S,HD 4600 (GT2),3.2 GHz,4.0 GHz,350 MHz[87],1.2 GHz,8 MB,,65 W,1×162×81×8 + 2×4,Yes,"May 11, 2014",$303,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
Performance,4 (8),Core i7,4790T,HD 4600 (GT2),2.7 GHz,3.9 GHz,350 MHz[87],1.2 GHz,8 MB,,45 W,1×162×81×8 + 2×4,Yes,"May 11, 2014",$303,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
Performance,4 (8),Core i7,4785T,HD 4600 (GT2),2.2 GHz,3.2 GHz,350 MHz[87],1.2 GHz,8 MB,,35 W,1×162×81×8 + 2×4,Yes,"May 11, 2014",$303,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
Performance,4 (8),Core i7,4771,HD 4600 (GT2),3.5 GHz,3.9 GHz,350 MHz[87],1.2 GHz,8 MB,,84 W,1×162×81×8 + 2×4,Yes,"September 1, 2013",$320,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
Performance,4 (8),Core i7,4770K,HD 4600 (GT2),3.5 GHz,3.9 GHz,350 MHz[87],1.25 GHz,8 MB,,84 W,1×162×81×8 + 2×4,No,"June 2, 2013[89]",$339,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
Performance,4 (8),Core i7,4770,HD 4600 (GT2),3.4 GHz,3.9 GHz,350 MHz[87],1.2 GHz,8 MB,,84 W,1×162×81×8 + 2×4,Yes,"June 2, 2013[89]",$303,LGA1150,DMI 2.0PCIe 3.0,Up to dualchannelDDR3-1600[88]
