Targetsegment,Processorbranding and model,Processorbranding and model,Cores(threads),CPU clock rate,CPU clock rate,Graphics clock rate,Graphics clock rate,L3Cache,TDP,Releasedate (Y-M-D),Price(USD),Motherboard,Motherboard,Motherboard
Targetsegment,Processorbranding and model,Processorbranding and model.1,Cores(threads),Normal,Turbo,Normal,Turbo,L3Cache,TDP,Releasedate (Y-M-D),Price(USD),Socket,Interface,Memory
Mainstream,Core i3,2102,2 (4),3.1 GHz,,850 MHz,1100 MHz,3 MB,65 W,Q2 2011,$127,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Core i3,2100,2 (4),3.1 GHz,,850 MHz,1100 MHz,3 MB,65 W,2011-02-20,$117,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Pentium,G870,2 (2),3.1 GHz,,850 MHz,1100 MHz,3 MB,65 W,2012-06-03,$86,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Pentium,G860,2 (2),3.0 GHz,,850 MHz,1100 MHz,3 MB,65 W,2011-09-04,$86,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Pentium,G860T,2 (2),2.6 GHz,,650 MHz,1100 MHz,3 MB,35 W,2012-06-03,$75,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Pentium,G850,2 (2),2.9 GHz,,850 MHz,1100 MHz,3 MB,65 W,2011-05-24,$86,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Pentium,G840,2 (2),2.8 GHz,,850 MHz,1100 MHz,3 MB,65 W,2011-05-24,$75,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Pentium,G645,2 (2),2.9 GHz,,850 MHz,1100 MHz,3 MB,65 W,2012-09-03,$64,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G640,2 (2),2.8 GHz,,850 MHz,1100 MHz,3 MB,65 W,2012-06-03,$64,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G632,2 (2),2.7 GHz,,850 MHz,1100 MHz,3 MB,65 W,Q3 2011,,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G630,2 (2),2.7 GHz,,850 MHz,1100 MHz,3 MB,65 W,2011-09-04,$75,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G622,2 (2),2.6 GHz,,850 MHz,1100 MHz,3 MB,65 W,Q2 2011,,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G620,2 (2),2.6 GHz,,850 MHz,1100 MHz,3 MB,65 W,2011-05-24,$64,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G645T,2 (2),2.5 GHz,,650 MHz,1100 MHz,3 MB,35 W,2012-09-03,$64,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G640T,2 (2),2.4 GHz,,650 MHz,1100 MHz,3 MB,35 W,2012-06-03,$64,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G630T,2 (2),2.3 GHz,,650 MHz,1100 MHz,3 MB,35 W,2011-09-04,$70,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Pentium,G620T,2 (2),2.2 GHz,,650 MHz,1100 MHz,3 MB,35 W,2011-05-24,$70,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G555,2 (2),2.7 GHz,,850 MHz,1000 MHz,2 MB,65 W,2012-09-02,$52,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G550,2 (2),2.6 GHz,,850 MHz,1000 MHz,2 MB,65 W,2012-06-03,$52,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G540,2 (2),2.5 GHz,,850 MHz,1000 MHz,2 MB,65 W,2011-09-04,$52,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G530,2 (2),2.4 GHz,,850 MHz,1000 MHz,2 MB,65 W,2011-09-04,$42,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G550T,2 (2),2.2 GHz,,650 MHz,1000 MHz,2 MB,35 W,2012-09-02,$42,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G540T,2 (2),2.1 GHz,,650 MHz,1000 MHz,2 MB,35 W,2012-06-03,$42,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G530T,2 (2),2.0 GHz,,650 MHz,1000 MHz,2 MB,35 W,2011-09-04,$47,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G470,1 (2),2.0 GHz,,650 MHz,1000 MHz,1.5 MB,35 W,2013-06-09,$37,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1333
Mainstream,Celeron,G465,1 (2),1.9 GHz,,650 MHz,1000 MHz,1.5 MB,35 W,2012-09-02,$37,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G460,1 (2),1.8 GHz,,650 MHz,1000 MHz,1.5 MB,35 W,2011-12-11,$37,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
Mainstream,Celeron,G440,1 (1),1.6 GHz,,650 MHz,1000 MHz,1 MB,35 W,2011-09-04,$37,LGA1155,DMI 2.0PCIe 2.0,Up to dualchannelDDR3-1066
